name,time,quantity
อื่นๆ,feb_61,17504.83
คลองเตย,mar_61,9397.08
คลองสาน,mar_61,3967.8
คลองสามวา,mar_61,6562.01
คันนายาว,mar_61,4600.69
จตุจักร,mar_61,13805.8
จอมทอง,mar_61,6527.37
ดอนเมือง,mar_61,6741.4
ดินแดง,mar_61,9174.8
ดุสิต,mar_61,5439.65
ตลิ่งชัน,mar_61,4726.93
ทวีวัฒนา,mar_61,3505.1
ทุ่งครุ,mar_61,4556.64
ธนบุรี,mar_61,5143.32
บางกอกน้อย,mar_61,5349.82
บางกอกใหญ่,mar_61,2496.55
บางกะปิ,mar_61,10744.5
บางขุนเทียน,mar_61,10376.9
บางเขน,mar_61,9668.08
บางคอแหลม,mar_61,4305.64
บางแค,mar_61,8911.03
บางซื่อ,mar_61,5035.64
บางนา,mar_61,7145.44
บางบอน,mar_61,7022.24
บางพลัด,mar_61,4869.6
บางรัก,mar_61,4948.09
บึงกุ่ม,mar_61,6441.07
ปทุมวัน,mar_61,9530.62
ประเวศ,mar_61,8823.81
ป้อมปราบศัตรูพ่าย,mar_61,2591.2
พญาไท,mar_61,5492.27
พระโขนง,mar_61,4450.39
พระนคร,mar_61,5996.31
ภาษีเจริญ,mar_61,5248.31
มีนบุรี,mar_61,5787.99
ยานนาวา,mar_61,5747.1
ราชเทวี,mar_61,6813.36
ราษฎร์บูรณะ,mar_61,3702.9
ลาดกระบัง,mar_61,9146.79
ลาดพร้าว,mar_61,6643.2
วังทองหลาง,mar_61,7331.87
วัฒนา,mar_61,9015.92
สวนหลวง,mar_61,7083.1
สะพานสูง,mar_61,3929.24
สัมพันธวงศ์,mar_61,1711.08
สาทร,mar_61,5009.03
สายไหม,mar_61,7441.21
หนองแขม,mar_61,5684.9
หนองจอก,mar_61,4135.21
หลักสี่,mar_61,6034.83
ห้วยขวาง,mar_61,7240.8
อื่นๆ,mar_61,17906.48
คลองเตย,apr_61,8712.35
คลองสาน,apr_61,3725.06
คลองสามวา,apr_61,5635.02
คันนายาว,apr_61,4237.22
จตุจักร,apr_61,12403.8
จอมทอง,apr_61,6200.64
